,HCPCS_CODE,CLNDR_HCPCS_YR_NUM,LONG_DESCRIPTION,SHORT_DESCRIPTION,PRICE1,PRICE2,PRICE3,PRICE4,MULT_PI,CIM1,CIM2,CIM3,MCM1,MCM2,MCM3,STATUTE,LABCERT1,LABCERT2,LABCERT3,LABCERT4,LABCERT5,LABCERT6,LABCERT7,LABCERT8,XREF1,XREF2,XREF3,XREF4,XREF5,COV,ASC_GRP,ASC_DT,OPPS,OPPS_PI,OPPS_DT,PROCNOTE,BETOS,TOS1,TOS2,TOS3,TOS4,TOS5,ANEST_BU,ADD_DT,ACT_EFF_DT,TERM_DT,ACTION_CD
2189,G0294,2020,"Noncovered procedure(s) using either no anesthesia or local anesthesia only, in a medicare qualifying clinical trial, per day","Non-cov proc, clinical trial",,,,,9,,,,,,,,,,,,,,,,,,,,,D,,nan--,,,nan--,109.0,Y2,2,,,,,,2003-01-01,2003-01-01,nan--,N
2190,G0295,2020,"Electromagnetic therapy, to one or more areas, for wound care other than described in g0329 or for other uses",Electromagnetic therapy onc,,,,,9,35-98,,,,,,,,,,,,,,,,,,,,M,,nan--,,,nan--,,I2B,1,U,W,,,,2003-04-01,2004-07-01,nan--,N
2191,G0296,2020,Counseling visit to discuss need for lung cancer screening using low dose ct scan (ldct) (service is for eligibility determination and shared decision making),Visit to determ ldct elig,13.0,,,,A,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,M6,1,,,,,,2015-02-05,2015-02-05,nan--,N
2192,G0297,2020,Low dose ct scan (ldct) for lung cancer screening,Ldct for lung ca screen,13.0,,,,A,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,I2B,1,,,,,,2015-02-05,2015-02-05,nan--,N
2193,G0299,2020,"Direct skilled nursing services of a registered nurse (rn) in the home health or hospice setting, each 15 minutes",Hhs/hospice of rn ea 15 min,,,,,9,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,M5D,1,,,,,,2015-11-02,2015-11-02,nan--,N
2194,G0300,2020,"Direct skilled nursing services of a licensed practical nurse (lpn) in the home health or hospice setting, each 15 minutes",Hhs/hospice of lpn ea 15 min,,,,,9,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,M5D,1,,,,,,2015-11-02,2015-11-02,nan--,N
2195,G0302,2020,"Pre-operative pulmonary surgery services for preparation for lvrs, complete course of services, to include a minimum of 16 days of services",Pre-op service lvrs complete,,,,,9,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,T2D,1,,,,,,2004-01-01,2004-01-01,nan--,N
2196,G0303,2020,"Pre-operative pulmonary surgery services for preparation for lvrs, 10 to 15 days of services",Pre-op service lvrs 10-15dos,,,,,9,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,T2D,1,,,,,,2004-01-01,2004-01-01,nan--,N
2197,G0304,2020,"Pre-operative pulmonary surgery services for preparation for lvrs, 1 to 9 days of services",Pre-op service lvrs 1-9 dos,,,,,9,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,T2D,1,,,,,,2004-01-01,2004-01-01,nan--,N
2198,G0305,2020,"Post-discharge pulmonary surgery services after lvrs, minimum of 6 days of services",Post op service lvrs min 6,,,,,9,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,T2D,1,,,,,,2004-01-01,2004-01-01,nan--,N
2199,G0306,2020,"Complete cbc, automated (hgb, hct, rbc, wbc, without platelet count) and automated wbc differential count",Cbc/diffwbc w/o platelet,21.0,,,,A,,,,,,,,400.0,,,,,,,,,,,,,C,,nan--,,,nan--,,T1D,5,,,,,,2004-01-01,2009-01-01,nan--,N
2200,G0307,2020,"Complete (cbc), automated (hgb, hct, rbc, wbc; without platelet count)",Cbc without platelet,21.0,,,,A,,,,,,,,400.0,,,,,,,,,,,,,C,,nan--,,,nan--,,T1D,5,,,,,,2004-01-01,2009-01-01,nan--,N
2201,G0328,2020,"Colorectal cancer screening; fecal occult blood test, immunoassay, 1-3 simultaneous",Fecal blood scrn immunoassay,21.0,,,,A,,,,,,,,310.0,400.0,,,,,,,,,,,,D,,nan--,,,nan--,64.0,T1H,1,,,,,,2004-01-01,2004-01-01,nan--,N
2202,G0329,2020,"Electromagnetic therapy, to one or more areas for chronic stage iii and stage iv pressure ulcers, arterial ulcers, diabetic ulcers and venous stasis ulcers not demonstrating measurable signs of healing after 30 days of conventional care as part of a therapy plan of care",Electromagntic tx for ulcers,,,,,9,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,I2B,1,U,W,,,,2004-07-01,2004-07-01,nan--,N
2203,G0333,2020,Pharmacy dispensing fee for inhalation drug(s); initial 30-day supply as a beneficiary,Dispense fee initial 30 day,46.0,,,,A,,,,,,,,,,,,,,,,,,,,,D,,nan--,,,nan--,121.0,D1E,9,,,,,,2006-01-01,2006-01-01,nan--,N
2204,G0337,2020,"Hospice evaluation and counseling services, pre-election",Hospice evaluation preelecti,11.0,,,,A,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,M5D,1,,,,,,2005-01-01,2005-01-01,nan--,N
2205,G0339,2020,"Image-guided robotic linear accelerator-based stereotactic radiosurgery, complete course of therapy in one session or first session of fractionated treatment","Robot lin-radsurg com, first",13.0,,,,A,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,P5E,1,,,,,,2004-01-01,2014-01-01,nan--,N
2206,G0340,2020,"Image-guided robotic linear accelerator-based stereotactic radiosurgery, delivery including collimator changes and custom plugging, fractionated treatment, all lesions, per session, second through fifth sessions, maximum five sessions per course of treatment",Robt lin-radsurg fractx 2-5,13.0,,,,A,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,P5E,1,,,,,,2004-01-01,2014-01-01,nan--,N
2207,G0341,2020,"Percutaneous islet cell transplant, includes portal vein catheterization and infusion",Percutaneous islet celltrans,13.0,,,,A,260.3,35-82,,,,,,,,,,,,,,,,,,,D,,nan--,,,nan--,,P1G,2,,,,,,2004-10-01,2004-10-01,nan--,N
2208,G0342,2020,"Laparoscopy for islet cell transplant, includes portal vein catheterization and infusion",Laparoscopy islet cell trans,13.0,,,,A,35-82,,,,,,,,,,,,,,,,,,,,D,,nan--,,,nan--,,P1G,2,,,,,,2004-10-01,2004-10-01,nan--,N
2209,G0343,2020,"Laparotomy for islet cell transplant, includes portal vein catheterization and infusion",Laparotomy islet cell transp,13.0,,,,A,35-82,,,,,,,,,,,,,,,,,,,,D,,nan--,,,nan--,,P1G,2,,,,,,2004-10-01,2004-10-01,nan--,N
2210,G0364,2020,Bone marrow aspiration performed with bone marrow biopsy through the same incision on the same date of service,Bone marrow aspirate &biopsy,11.0,,,,A,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,P6C,2,,,,,,2005-01-01,2018-01-01,2017-12-31,N
2211,G0365,2020,"Vessel mapping of vessels for hemodialysis access (services for preoperative vessel mapping prior to creation of hemodialysis access using an autogenous hemodialysis conduit, including arterial inflow and venous outflow)",Vessel mapping hemo access,11.0,,,,A,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,P9A,5,,,,,,2005-01-01,2020-01-01,2019-12-31,N
2212,G0372,2020,Physician service required to establish and document the need for a power mobility device,Md service required for pmd,13.0,,,,A,,,,,,,,,,,,,,,,,,,,,D,,nan--,,,nan--,128.0,M5D,1,,,,,,2005-10-25,2005-10-25,nan--,N
2213,G0378,2020,"Hospital observation service, per hour",Hospital observation per hr,,,,,9,,,,,,,,,,,,,,,,,,,,,D,,nan--,,,nan--,107.0,M2A,1,,,,,,2006-01-01,2006-01-01,nan--,N
2214,G0379,2020,Direct admission of patient for hospital observation care,Direct refer hospital observ,,,,,9,,,,,,,,,,,,,,,,,,,,,D,,nan--,,,nan--,107.0,M2A,1,,,,,,2006-01-01,2010-01-01,nan--,N
2215,G0380,2020,"Level 1 hospital emergency department visit provided in a type b emergency department; (the ed must meet at least one of the following requirements: (1) it is licensed by the state in which it is located under applicable state law as an emergency room or emergency department; (2) it is held out to the public (by name, posted signs, advertising, or other means) as a place that provides care for emergency medical conditions on an urgent basis without requiring a previously scheduled appointment; or (3) during the calendar year immediately preceding the calendar year in which a determination under 42 cfr 489.24 is being made, based on a representative sample of patient visits that occurred during that calendar year, it provides at least one-third of all of its outpatient visits for the treatment of emergency medical conditions on an urgent basis without requiring a previously scheduled appointment)",Lev 1 hosp type b ed visit,,,,,9,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,M3,1,,,,,,2007-01-01,2008-01-01,nan--,N
2216,G0381,2020,"Level 2 hospital emergency department visit provided in a type b emergency department; (the ed must meet at least one of the following requirements: (1) it is licensed by the state in which it is located under applicable state law as an emergency room or emergency department; (2) it is held out to the public (by name, posted signs, advertising, or other means) as a place that provides care for emergency medical conditions on an urgent basis without requiring a previously scheduled appointment; or (3) during the calendar year immediately preceding the calendar year in which a determination under 42 cfr 489.24 is being made, based on a representative sample of patient visits that occurred during that calendar year, it provides at least one-third of all of its outpatient visits for the treatment of emergency medical conditions on an urgent basis without requiring a previously scheduled appointment)",Lev 2 hosp type b ed visit,,,,,9,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,M3,1,,,,,,2007-01-01,2008-01-01,nan--,N
2217,G0382,2020,"Level 3 hospital emergency department visit provided in a type b emergency department; (the ed must meet at least one of the following requirements: (1) it is licensed by the state in which it is located under applicable state law as an emergency room or emergency department; (2) it is held out to the public (by name, posted signs, advertising, or other means) as a place that provides care for emergency medical conditions on an urgent basis without requiring a previously scheduled appointment; or (3) during the calendar year immediately preceding the calendar year in which a determination under 42 cfr 489.24 is being made, based on a representative sample of patient visits that occurred during that calendar year, it provides at least one-third of all of its outpatient visits for the treatment of emergency medical conditions on an urgent basis without requiring a previously scheduled appointment)",Lev 3 hosp type b ed visit,,,,,9,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,M3,1,,,,,,2007-01-01,2008-01-01,nan--,N
2218,G0383,2020,"Level 4 hospital emergency department visit provided in a type b emergency department; (the ed must meet at least one of the following requirements: (1) it is licensed by the state in which it is located under applicable state law as an emergency room or emergency department; (2) it is held out to the public (by name, posted signs, advertising, or other means) as a place that provides care for emergency medical conditions on an urgent basis without requiring a previously scheduled appointment; or (3) during the calendar year immediately preceding the calendar year in which a determination under 42 cfr 489.24 is being made, based on a representative sample of patient visits that occurred during that calendar year, it provides at least one-third of all of its outpatient visits for the treatment of emergency medical conditions on an urgent basis without requiring a previously scheduled appointment)",Lev 4 hosp type b ed visit,,,,,9,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,M3,1,,,,,,2007-01-01,2008-01-01,nan--,N
2219,G0384,2020,"Level 5 hospital emergency department visit provided in a type b emergency department; (the ed must meet at least one of the following requirements: (1) it is licensed by the state in which it is located under applicable state law as an emergency room or emergency department; (2) it is held out to the public (by name, posted signs, advertising, or other means) as a place that provides care for emergency medical conditions on an urgent basis without requiring a previously scheduled appointment; or (3) during the calendar year immediately preceding the calendar year in which a determination under 42 cfr 489.24 is being made, based on a representative sample of patient visits that occurred during that calendar year, it provides at least one-third of all of its outpatient visits for the treatment of emergency medical conditions on an urgent basis without requiring a previously scheduled appointment)",Lev 5 hosp type b ed visit,,,,,9,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,M3,1,,,,,,2007-01-01,2008-01-01,nan--,N
2220,G0389,2020,Ultrasound b-scan and/or real time with image documentation; for abdominal aortic aneurysm (aaa) screening,Ultrasound exam aaa screen,13.0,,,,A,,,,,,,,,,,,,,,,,,,,,D,,nan--,,,nan--,134.0,I3B,4,,,,,,2007-01-01,2017-01-01,2016-12-31,N
2221,G0390,2020,Trauma response team associated with hospital critical care service,Trauma respons w/hosp criti,,,,,9,,,,,,,,,,,,,,,,,,,,,D,,nan--,,,nan--,136.0,M5D,1,,,,,,2007-01-01,2007-01-01,nan--,N
2222,G0396,2020,"Alcohol and/or substance (other than tobacco) misuse structured assessment (e.g., audit, dast), and brief intervention 15 to 30 minutes",Alcohol/subs interv 15-30mn,11.0,,,,A,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,M5D,1,,,,,,2008-01-01,2020-10-01,nan--,C
2223,G0397,2020,"Alcohol and/or substance (other than tobacco) misuse structured assessment (e.g., audit, dast), and intervention, greater than 30 minutes",Alcohol/subs interv >30 min,11.0,,,,A,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,M5D,1,,,,,,2008-01-01,2020-10-01,nan--,C
2224,G0398,2020,"Home sleep study test (hst) with type ii portable monitor, unattended; minimum of 7 channels: eeg, eog, emg, ecg/heart rate, airflow, respiratory effort and oxygen saturation",Home sleep test/type 2 porta,13.0,,,,A,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,T2D,5,,,,,,2008-03-13,2008-03-13,nan--,N
2225,G0399,2020,"Home sleep test (hst) with type iii portable monitor, unattended; minimum of 4 channels: 2 respiratory movement/airflow, 1 ecg/heart rate and 1 oxygen saturation",Home sleep test/type 3 porta,13.0,,,,A,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,T2D,5,,,,,,2008-03-13,2008-03-13,nan--,N
2226,G0400,2020,"Home sleep test (hst) with type iv portable monitor, unattended; minimum of 3 channels",Home sleep test/type 4 porta,13.0,,,,A,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,T2D,5,,,,,,2008-03-13,2008-03-13,nan--,N
2227,G0402,2020,"Initial preventive physical examination; face-to-face visit, services limited to new beneficiary during the first 12 months of medicare enrollment",Initial preventive exam,11.0,,,,A,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,153.0,M1A,1,,,,,,2009-01-01,2009-01-01,nan--,N
2228,G0403,2020,"Electrocardiogram, routine ecg with 12 leads; performed as a screening for the initial preventive physical examination with interpretation and report",Ekg for initial prevent exam,11.0,,,,A,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,153.0,T2C,5,,,,,,2009-01-01,2009-01-01,nan--,N
2229,G0404,2020,"Electrocardiogram, routine ecg with 12 leads; tracing only, without interpretation and report, performed as a screening for the initial preventive physical examination",Ekg tracing for initial prev,11.0,,,,A,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,153.0,T2C,5,,,,,,2009-01-01,2009-01-01,nan--,N
2230,G0405,2020,"Electrocardiogram, routine ecg with 12 leads; interpretation and report only, performed as a screening for the initial preventive physical examination",Ekg interpret & report preve,11.0,,,,A,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,153.0,T2C,5,,,,,,2009-01-01,2009-01-01,nan--,N
2231,G0406,2020,"Follow-up inpatient consultation, limited, physicians typically spend 15 minutes communicating with the patient via telehealth",Inpt/tele follow up 15,13.0,,,,A,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,M6,3,,,,,,2009-01-01,2012-01-01,nan--,N
2232,G0407,2020,"Follow-up inpatient consultation, intermediate, physicians typically spend 25 minutes communicating with the patient via telehealth",Inpt/tele follow up 25,11.0,,,,A,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,M6,3,,,,,,2009-01-01,2012-01-01,nan--,N
2233,G0408,2020,"Follow-up inpatient consultation, complex, physicians typically spend 35 minutes communicating with the patient via telehealth",Inpt/tele follow up 35,11.0,,,,A,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,M6,3,,,,,,2009-01-01,2012-01-01,nan--,N
2234,G0409,2020,"Social work and psychological services, directly relating to and/or furthering the patient's rehabilitation goals, each 15 minutes, face-to-face; individual (services provided by a corf-qualified social worker or psychologist in a corf)",Corf related serv 15 mins ea,13.0,,,,A,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,M5D,1,,,,,,2009-01-01,2009-01-01,nan--,N
2235,G0410,2020,"Group psychotherapy other than of a multiple-family group, in a partial hospitalization setting, approximately 45 to 50 minutes",Grp psych partial hosp 45-50,13.0,,,,A,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,P6D,1,,,,,,2009-01-01,2009-01-01,nan--,N
2236,G0411,2020,"Interactive group psychotherapy, in a partial hospitalization setting, approximately 45 to 50 minutes",Inter active grp psych parti,13.0,,,,A,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,P6D,1,,,,,,2009-01-01,2009-01-01,nan--,N
2237,G0412,2020,"Open treatment of iliac spine(s), tuberosity avulsion, or iliac wing fracture(s), unilateral or bilateral for pelvic bone fracture patterns which do not disrupt the pelvic ring includes internal fixation, when performed",Open tx iliac spine uni/bil,13.0,,,,A,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,155.0,P3D,2,,,,,,2009-01-01,2009-01-01,nan--,N
2238,G0413,2020,"Percutaneous skeletal fixation of posterior pelvic bone fracture and/or dislocation, for fracture patterns which disrupt the pelvic ring, unilateral or bilateral, (includes ilium, sacroiliac joint and/or sacrum)",Pelvic ring fracture uni/bil,13.0,,,,A,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,155.0,P3D,2,,,,,,2009-01-01,2009-01-01,nan--,N
2239,G0414,2020,"Open treatment of anterior pelvic bone fracture and/or dislocation for fracture patterns which disrupt the pelvic ring, unilateral or bilateral, includes internal fixation when performed (includes pubic symphysis and/or superior/inferior rami)",Pelvic ring fx treat int fix,13.0,,,,A,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,155.0,P3D,2,,,,,,2009-01-01,2009-01-01,nan--,N
2240,G0415,2020,"Open treatment of posterior pelvic bone fracture and/or dislocation, for fracture patterns which disrupt the pelvic ring, unilateral or bilateral, includes internal fixation, when performed (includes ilium, sacroiliac joint and/or sacrum)",Open tx post pelvic fxcture,13.0,,,,A,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,155.0,P3D,2,,,,,,2009-01-01,2009-01-01,nan--,N
2241,G0416,2020,"Surgical pathology, gross and microscopic examinations, for prostate needle biopsy, any method","Prostate biopsy, any mthd",13.0,,,,A,,,,,,,,610.0,,,,,,,,,,,,,C,,nan--,,,nan--,,T1G,5,,,,,,2009-01-01,2015-01-01,nan--,N
2242,G0417,2020,"Surgical pathology, gross and microscopic examination, for prostate needle  biopsy, any method, 21-40 specimens",Sat biopsy prostate 21-40,13.0,,,,A,,,,,,,,610.0,,,,,,,,,,,,,C,,nan--,,,nan--,,T1G,5,,,,,,2009-01-01,2015-01-01,2014-12-31,N
2243,G0418,2020,"Surgical pathology, gross and microscopic examination, for prostate needle  biopsy, any method, 41-60 specimens",Sat biopsy prostate 41-60,13.0,,,,A,,,,,,,,610.0,,,,,,,,,,,,,C,,nan--,,,nan--,,T1G,5,,,,,,2009-01-01,2015-01-01,2014-12-31,N
2244,G0419,2020,"Surgical pathology, gross and microscopic examination, for prostate needle  biopsy, any method, >60 specimens",Sat biopsy prostate: >60,13.0,,,,A,,,,,,,,610.0,,,,,,,,,,,,,C,,nan--,,,nan--,,T1G,5,,,,,,2009-01-01,2015-01-01,2014-12-31,N
2245,G0420,2020,"Face-to-face educational services related to the care of chronic kidney disease; individual, per session, per one hour",Ed svc ckd ind per session,11.0,,,,A,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,M1B,1,,,,,,2010-01-01,2010-01-01,nan--,N
2246,G0421,2020,"Face-to-face educational services related to the care of chronic kidney disease; group, per session, per one hour",Ed svc ckd grp per session,11.0,,,,A,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,M1B,1,,,,,,2010-01-01,2010-01-01,nan--,N
2247,G0422,2020,"Intensive cardiac rehabilitation; with or without continuous ecg monitoring with exercise, per session",Intens cardiac rehab w/exerc,11.0,,,,A,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,M5D,1,,,,,,2010-01-01,2010-01-01,nan--,N
2248,G0423,2020,"Intensive cardiac rehabilitation; with or without continuous ecg monitoring; without exercise, per session",Intens cardiac rehab no exer,11.0,,,,A,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,M5D,1,,,,,,2010-01-01,2010-01-01,nan--,N
2249,G0424,2020,"Pulmonary rehabilitation, including exercise (includes monitoring), one hour, per session, up to two sessions per day",Pulmonary rehab w exer,11.0,,,,A,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,M5D,1,,,,,,2010-01-01,2010-01-01,nan--,N
2250,G0425,2020,"Telehealth consultation, emergency department or initial inpatient, typically 30 minutes communicating with the patient via telehealth",Inpt/ed teleconsult30,13.0,,,,A,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,M6,3,,,,,,2010-01-01,2012-01-01,nan--,N
2251,G0426,2020,"Telehealth consultation, emergency department or initial inpatient, typically 50 minutes communicating with the patient via telehealth",Inpt/ed teleconsult50,13.0,,,,A,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,M6,3,,,,,,2010-01-01,2012-01-01,nan--,N
2252,G0427,2020,"Telehealth consultation, emergency department or initial inpatient, typically 70 minutes or more communicating with the patient via telehealth",Inpt/ed teleconsult70,13.0,,,,A,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,M6,3,,,,,,2010-01-01,2012-01-01,nan--,N
2253,G0428,2020,"Collagen meniscus implant procedure for filling meniscal defects (e.g., cmi, collagen scaffold, menaflex)",Collagen meniscus implant,,,,,9,,,,,,,,,,,,,,,,,,,,,M,,nan--,,,nan--,169.0,P1G,2,,,,,,2010-05-25,2010-05-25,nan--,N
2254,G0429,2020,"Dermal filler injection(s) for the treatment of facial lipodystrophy syndrome (lds) (e.g., as a result of highly active antiretroviral therapy)",Dermal filler injection(s),13.0,,,,A,,,,,,,,,,,,,,,,,,,,,C,YY,2017-01-01,,,nan--,,P6A,1,,,,,,2010-03-23,2017-01-01,nan--,N
2255,G0431,2020,"Drug screen, qualitative; multiple drug classes by high complexity test method (e.g., immunoassay, enzyme assay), per patient encounter",Drug screen multiple class,13.0,21.0,,,A,,,,,,,,340.0,,,,,,,,,,,,,C,,nan--,,,nan--,,T1H,5,,,,,,2010-01-01,2016-01-01,2015-12-31,N
2256,G0432,2020,"Infectious agent antibody detection by enzyme immunoassay (eia) technique, hiv-1 and/or hiv-2, screening",Eia hiv-1/hiv-2 screen,21.0,,,,A,,,,,,,,140.0,220.0,,,,,,,,,,,,C,,nan--,,,nan--,164.0,T1H,9,,,,,,2009-12-08,2010-10-01,nan--,N
2257,G0433,2020,"Infectious agent antibody detection by enzyme-linked immunosorbent assay (elisa) technique, hiv-1 and/or hiv-2, screening",Elisa hiv-1/hiv-2 screen,21.0,,,,A,,,,,,,,140.0,220.0,,,,,,,,,,,,C,,nan--,,,nan--,164.0,T1H,9,,,,,,2009-12-08,2013-01-01,nan--,N
2258,G0434,2020,"Drug screen, other than chromatographic; any number of drug classes, by clia waived test or moderate complexity test, per patient encounter",Drug screen multi drug class,21.0,,,,A,,,,,,,,340.0,,,,,,,,,,,,,C,,nan--,,,nan--,,T1H,5,,,,,,2011-01-01,2016-01-01,2015-12-31,N
2259,G0435,2020,"Infectious agent antibody detection by rapid antibody test, hiv-1 and/or hiv-2, screening",Oral hiv-1/hiv-2 screen,21.0,,,,A,,,,,,,,140.0,220.0,,,,,,,,,,,,C,,nan--,,,nan--,164.0,T1H,9,,,,,,2009-12-08,2010-10-01,nan--,N
2260,G0436,2020,"Smoking and tobacco cessation counseling visit for the asymptomatic patient; intermediate, greater than 3 minutes, up to 10 minutes",Tobacco-use counsel 3-10 min,13.0,,,,A,,,,,,,,,,,,,,,,99406,99407,,,,C,,nan--,,,nan--,,P5E,1,,,,,,2011-01-01,2016-10-01,2016-09-30,N
2261,G0437,2020,"Smoking and tobacco cessation counseling visit for the asymptomatic patient; intensive, greater than 10 minutes",Tobacco-use counsel>10min,13.0,,,,A,,,,,,,,,,,,,,,,99406,99407,,,,C,,nan--,,,nan--,,P5E,1,,,,,,2011-01-01,2016-10-01,2016-09-30,N
2262,G0438,2020,"Annual wellness visit; includes a personalized prevention plan of service (pps), initial visit","Ppps, initial visit",13.0,,,,A,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,M5D,1,,,,,,2011-01-01,2011-01-01,nan--,N
2263,G0439,2020,"Annual wellness visit, includes a personalized prevention plan of service (pps), subsequent visit","Ppps, subseq visit",13.0,,,,A,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,M5D,1,,,,,,2011-01-01,2011-01-01,nan--,N
2264,G0442,2020,"Annual alcohol misuse screening, 15 minutes",Annual alcohol screen 15 min,13.0,,,,A,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,Y1,1,,,,,,2011-10-14,2011-10-14,nan--,N
2265,G0443,2020,"Brief face-to-face behavioral counseling for alcohol misuse, 15 minutes",Brief alcohol misuse counsel,13.0,,,,A,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,Y1,1,,,,,,2011-10-14,2011-10-14,nan--,N
2266,G0444,2020,"Annual depression screening, 15 minutes",Depression screen annual,13.0,,,,A,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,Y1,1,,,,,,2011-10-14,2011-10-14,nan--,N
2267,G0445,2020,"High intensity behavioral counseling to prevent sexually transmitted infection; face-to-face, individual, includes: education, skills training and guidance on how to change sexual behavior; performed semi-annually, 30 minutes",High inten beh couns std 30m,13.0,,,,A,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,Y1,1,,,,,,2011-11-08,2011-11-08,nan--,N
2268,G0446,2020,"Annual, face-to-face intensive behavioral therapy for cardiovascular disease, individual, 15 minutes",Intens behave ther cardio dx,13.0,,,,A,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,Y1,1,,,,,,2011-11-08,2011-11-08,nan--,N
2269,G0447,2020,"Face-to-face behavioral counseling for obesity, 15 minutes",Behavior counsel obesity 15m,13.0,,,,A,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,Y1,1,,,,,,2011-11-29,2011-11-29,nan--,N
2270,G0448,2020,"Insertion or replacement of a permanent pacing cardioverter-defibrillator system with transvenous lead(s), single or dual chamber with insertion of pacing electrode, cardiac venous system, for left ventricular pacing",Place perm pacing cardiovert,13.0,,,,A,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,Y1,2,,,,,,2012-01-01,2014-01-01,nan--,N
2271,G0451,2020,"Development testing, with interpretation and report, per standardized instrument form",Devlopment test interpt&rep,13.0,,,,A,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,M5D,1,,,,,,2012-01-01,2012-01-01,nan--,N
2272,G0452,2020,Molecular pathology procedure; physician interpretation and report,Molecular pathology interpr,13.0,,,,A,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,T2D,1,,,,,,2013-01-01,2013-01-01,nan--,N
2273,G0453,2020,"Continuous intraoperative neurophysiology monitoring, from outside the operating room (remote or nearby), per patient, (attention directed exclusively to one patient) each 15 minutes (list in addition to primary procedure)",Cont intraop neuro monitor,13.0,,,,A,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,T2D,1,,,,,,2013-01-01,2013-01-01,nan--,N
2274,G0454,2020,"Physician documentation of face-to-face visit for durable medical equipment determination performed by nurse practitioner, physician assistant or clinical nurse specialist",Md document visit by npp,13.0,,,,A,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,M5D,1,,,,,,2013-01-01,2013-01-01,nan--,N
2275,G0455,2020,"Preparation with instillation of fecal microbiota by any method, including assessment of donor specimen",Fecal microbiota prep instil,13.0,,,,A,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,T2D,1,,,,,,2013-01-01,2013-01-01,nan--,N
